分類,"食事","炭水化物","蛋白質","ビタミン・ミネラル","保存性"
米,"米","3",,,"3"
米,"チャーハン","3",,,"3"
米,"チキンライス","3",,"1","3"
米,"焼きおにぎり","3",,,"3"
米,"親子丼","3","2","1","1"
米,"玉子丼","3","2","1","1"
米,"海鮮寿司","2","2",,"-"
餅,"焼き餅","3",,,"3"
餅,"雑煮","3",,"1","3"
麺,"ラーメン","3",,"1","3"
麺,"担々麺","3","1","1","3"
麺,"冷やし中華","3","1","1","1"
麺,"うどん","3",,"1","3"
麺,"肉うどん","3","2",,"3"
麺,"そば","3",,"1","3"
麺,"肉そば","3","2",,"3"
麺,"パスタ","3",,,"3"
麺,"ナポリタン","3","1","1","3"
麦,"トースト（ジャム）","3",,"1","3"
麦,"トースト（ピザ）","3","1","1","3"
麦,"トースト（卵）","3","2",,"1"
麦,"パンケーキ","3","1",,"2"
麦,"フライドポテト","3",,,"3"
麦,"フルーツケーキ","3","1","1","-"
弁当,"冷凍弁当","2","2","1","3"
鍋,"水炊き",,"2","3","2"
鍋,"味噌鍋",,,,
鍋,"すき焼き",,"3","2","2"
鍋,"キムチ鍋",,"2","2","3"
鍋,"カレー","1","2","1","3"
鍋,"キーマカレー",,"2","1","3"
鍋,"クリームシチュー","1","2","2","2"
鍋,"ミネストローネ","1","2","2","3"
肉,"餃子","2","1","1","3"
肉,"焼肉",,"3",,"1"
肉,"野菜炒め",,"2","2","1"
肉,"回鍋肉",,"2","1","2"
肉,"チャンプルー",,"3","2","2"
肉,"ウインナー",,"2",,"2"
肉,"ベーコン",,"2",,"2"
肉,"ハム",,"1",,"2"
肉,"唐揚げ","1","3",,"3"
肉,"ハンバーグ",,"3",,"3"
肉,"ミートボール",,"3",,"2"
肉,"ステーキ",,"3",,"-"
肉,"フライドチキン","1","3",,"3"
肉,"カツレツ","1","3",,"-"
魚,"ツナマヨ",,"3",,"3"
卵,"目玉焼き",,"2",,"1"
卵,"ゆで玉子",,"2",,"1"
豆,"麻婆豆腐",,"3","1","2"
豆,"冷奴",,"2",,"2"
乳,"牛乳",,"1",,"2"
乳,"プロテイン","1","2","1","3"
乳,"ヨーグルト",,"1","1","2"
野菜,"生野菜",,,"3","1"
野菜,"茹で野菜",,,"3","3"
野菜,"キムチ",,,"3","2"
野菜,"ミックスベジタブル","1","1","2","3"
デザート,"アイス","2",,,"3"
デザート,"フルーツゼリー","1",,"1","3"
スープ,"コーンスープ","1","1",,"3"
スープ,"味噌汁",,"1","1","3"
スープ,"玉子汁",,"1","1","3"
